"CBLS County-level Summary Data for OH, 2005",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Total # of Confirmed Cases,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2005"
,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Adams County,433,21.1322596388482%,4,2,11822,3042,15.9999996423721%,2049
003,Allen County,1194,13.9649122807018%,15,5,44245,15440,23.0000004172325%,8550
005,Ashland County,479,11.4758025874461%,7,3,20832,8034,17.0000001788139%,4174
007,Ashtabula County,718,9.1686885455242%,21,12,43792,18493,20.0000002980232%,7831
009,Athens County,927,26.2904140669314%,6,3,24901,7526,25%,3526
011,Auglaize County,328,8.64978902953587%,1,1,18470,7175,10.0000001490116%,3792
013,Belmont County,717,17.0066413662239%,14,6,31236,14024,23.9999994635582%,4216
015,Brown County,392,11.0267229254571%,3,1,17193,3924,18.9999997615814%,3555
017,Butler County,2163,7.77805746341113%,16,4,129793,26225,11.9999997317791%,27809
019,Carroll County,208,9.87654320987654%,0,0,13016,4147,20.9999993443489%,2106
021,Champaign County,497,16.0581583198708%,3,0,15890,6108,12.9999995231628%,3095
023,Clark County,2722,23.4918443082765%,112,58,61056,21250,18.9999997615814%,11587
025,Clermont County,1410,8.8036963036963%,0,3,69226,8807,10.0000001490116%,16016
027,Clinton County,312,9.17377241987651%,4,1,16577,5433,10.9999999403954%,3401
029,Columbiana County,967,11.9397456476108%,23,10,46083,18788,18.9999997615814%,8099
031,Coshocton County,478,17.2875226039783%,18,4,16107,6229,12.9999995231628%,2765
033,Crawford County,437,12.0021971985718%,7,2,20178,8962,18.9999997615814%,3641
035,Cuyahoga County,23123,21.1456685352672%,1665,1256,616903,260885,21.9999998807907%,109351
037,Darke County,522,12.2939236928874%,2,1,21583,9317,12.9999995231628%,4246
039,Defiance County,360,11.3672245026839%,2,0,16040,5326,7.99999982118607%,3167
041,Delaware County,492,4.61149123629206%,0,0,42374,6139,5.00000007450581%,10669
043,Erie County,383,6.70283514175709%,12,7,35909,12310,15.0000005960464%,5714
045,Fairfield County,1010,9.69755160825732%,9,4,47922,12306,10.9999999403954%,10415
047,Fayette County,311,13.996399639964%,5,1,11904,4352,18.0000007152557%,2222
049,Franklin County,12224,13.3241773214305%,86,44,471016,90783,15.9999996423721%,91743
051,Fulton County,458,12.1453195438876%,2,0,16232,6132,5.99999986588955%,3771
053,Gallia County,443,19.0537634408602%,3,1,13498,2979,31.0000002384186%,2325
055,Geauga County,258,3.49120433017591%,1,0,32805,6661,7.00000002980232%,7390
057,Greene County,806,7.67984754645069%,2,0,58224,9269,10.0000001490116%,10495
059,Guernsey County,551,16.6414980368469%,5,0,18771,6859,27.0000010728836%,3311
061,Hamilton County,11233,16.4617436288231%,275,134,373393,135987,18.9999997615814%,68237
063,Hancock County,266,4.41567065073041%,0,0,29785,9892,10.0000001490116%,6024
065,Hardin County,207,8.04195804195804%,3,0,12907,5719,18.0000007152557%,2574
067,Harrison County,158,14.7525676937442%,3,0,7680,3184,21.9999998807907%,1071
069,Henry County,292,12.7344090710859%,7,1,11622,4925,11.9999997317791%,2293
071,Highland County,700,19.7795987567109%,5,1,17583,5422,18.9999997615814%,3539
073,Hocking County,358,15.5652173913043%,2,1,12141,3669,18.0000007152557%,2300
075,Holmes County,277,5.82299768761825%,6,3,12280,3800,17.0000001788139%,4757
077,Huron County,886,15.9180740208408%,7,3,23594,9122,14.0000000596046%,5566
079,Jackson County,465,18.2854895792371%,1,0,13909,4383,23.0000004172325%,2543
081,Jefferson County,502,10.5285234899329%,14,8,33291,13365,28.999999165535%,4768
083,Knox County,313,7.55126658624849%,2,1,21793,7900,15.9999996423721%,4145
085,Lake County,1282,7.68723391497272%,10,4,93487,17281,7.99999982118607%,16677
087,Lawrence County,668,14.6330777656079%,0,0,27189,6229,27.0000010728836%,4565
089,Licking County,1627,13.4318500784281%,15,5,58760,15496,10.9999999403954%,12113
091,Logan County,337,8.92006352567496%,4,0,21571,7753,15.0000005960464%,3778
093,Lorain County,3002,12.4157326605732%,48,17,111368,29466,15.9999996423721%,24179
095,Lucas County,5355,14.1997242257107%,344,132,196259,73690,23.0000004172325%,37712
097,Madison County,465,15.1663405088063%,2,0,14399,4168,14.0000000596046%,3066
099,Mahoning County,2572,13.8071719991411%,121,76,111762,38140,23.0000004172325%,18628
101,Marion County,818,16.8799009492365%,12,1,26298,10909,18.0000007152557%,4846
103,Medina County,1032,7.9611201110854%,2,0,56793,9904,7.00000002980232%,12963
105,Meigs County,330,22.2521915037087%,5,1,10782,3702,33.0000013113022%,1483
107,Mercer County,289,8.02109353316681%,1,0,15875,5088,10.0000001490116%,3603
109,Miami County,1043,13.2562277580071%,8,2,40554,14056,9.00000035762787%,7868
111,Monroe County,79,7.96370967741936%,3,2,7212,2716,18.0000007152557%,992
113,Montgomery County,4857,10.906518761368%,61,17,248443,66917,18.0000007152557%,44533
115,Morgan County,212,18.4187662901825%,3,2,7771,2705,33.0000013113022%,1151
117,Morrow County,210,8.42020850040096%,2,1,12132,3789,15.9999996423721%,2494
119,Muskingum County,1589,23.4020618556701%,40,21,35163,12609,23.0000004172325%,6790
121,Noble County,142,16.0090191657272%,4,1,5480,2054,20.9999993443489%,887
123,Ottawa County,264,9.73092517508293%,2,1,25532,7732,10.0000001490116%,2713
125,Paulding County,76,4.78890989287965%,0,0,8478,2668,14.0000000596046%,1587
127,Perry County,463,15.2956722827882%,8,1,13655,5256,18.0000007152557%,3027
129,Pickaway County,504,13.3935689609354%,4,0,18596,5258,14.0000000596046%,3763
131,Pike County,453,20.2684563758389%,2,0,11602,1935,28.999999165535%,2235
133,Portage County,694,6.18869270554664%,6,1,60096,13390,11.9999997317791%,11214
135,Preble County,277,8.46577017114914%,7,1,17186,6155,7.99999982118607%,3272
137,Putnam County,151,4.86625845955527%,1,0,12753,4643,9.00000035762787%,3103
139,Richland County,2097,20.949050949051%,45,12,53062,17835,18.0000007152557%,10010
141,Ross County,1492,26.6952943281446%,7,3,29461,9133,18.0000007152557%,5589
143,Sandusky County,678,13.876381498158%,13,1,25253,11053,12.9999995231628%,4886
145,Scioto County,522,8.93835616438356%,5,2,34054,12118,28.999999165535%,5840
147,Seneca County,588,13.3182332955832%,11,3,23692,11662,12.9999995231628%,4415
149,Shelby County,560,12.5757916011678%,5,2,18682,5985,10.9999999403954%,4453
151,Stark County,4952,17.2736151806893%,48,20,157024,53354,17.0000001788139%,28668
153,Summit County,7524,17.4574816121024%,130,48,230880,75585,17.0000001788139%,43099
155,Trumbull County,1430,8.46704955888448%,20,2,95117,29730,18.9999997615814%,16889
157,Tuscarawas County,864,11.8388599616333%,10,4,38113,15438,15.0000005960464%,7298
159,Union County,109,2.96276162000544%,1,0,15217,4512,5.00000007450581%,3679
161,Van Wert County,276,11.963589076723%,4,1,12363,5950,5.99999986588955%,2307
163,Vinton County,253,22.9166666666667%,2,2,5653,1338,28.0000001192093%,1104
165,Warren County,792,5.39472787957224%,3,0,58692,7000,3.99999991059303%,14681
167,Washington County,467,10.218818380744%,6,17,27760,8233,18.9999997615814%,4570
169,Wayne County,980,10.3517481778811%,10,5,42324,12386,11.9999997317791%,9467
171,Williams County,487,16.099173553719%,3,3,16140,6143,7.00000002980232%,3025
173,Wood County,1009,11.9862200047517%,9,1,47468,12394,9.00000035762787%,8418
175,Wyandot County,179,10.0788288288288%,4,1,9324,4480,5.99999986588955%,1776
"* Based on most recent five years of data, 2001-2005",,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,
Ohio Total Confirmed Cases 2005,,3426,,,,,,,
