"CBLS County-level Summary Data for TN, 2014",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Total # Children Tested 5-9 µg/dL,Total Confirmed BLL ?10 µg/dL,,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,
,,,,Total #,Total %,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty
998,Unknown County,299,6,0,0%,1,,,
001,Anderson County,1085,7,0,0%,0,32451,7869,20.9999993443489%
003,Bedford County,1004,12,0,0%,0,14990,2258,18.0000007152557%
005,Benton County,188,5,0,0%,0,8595,1124,27.0000010728836%
007,Bledsoe County,98,1,0,0%,0,5142,804,23.9999994635582%
009,Blount County,1342,13,0,0%,0,47059,6943,14.0000000596046%
011,Bradley County,1297,10,1,0.100000004749745%,0,36820,3694,17.0000001788139%
013,Campbell County,452,7,1,0.20000000949949%,0,18527,2893,33.0000013113022%
015,Cannon County,110,2,0,0%,0,5420,877,15.9999996423721%
017,Carroll County,428,11,1,0.20000000949949%,0,13057,2447,20.9999993443489%
019,Carter County,442,14,2,0.499999988824129%,1,25920,6116,23.9999994635582%
021,Cheatham County,302,6,0,0%,0,13508,1198,10.0000001490116%
023,Chester County,204,3,0,0%,0,6178,747,20.9999993443489%
025,Claiborne Count,366,12,0,0%,0,13262,1967,31.0000002384186%
027,Clay County,71,.,0,0%,0,3959,589,23.0000004172325%
029,Cocke County,595,9,1,0.20000000949949%,0,15844,2162,30.0000011920929%
031,Coffee County,705,14,0,0%,0,20746,2340,23.0000004172325%
033,Crockett County,228,7,0,0%,0,6138,1190,23.9999994635582%
035,Cumberland Coun,536,3,0,0%,0,22442,1506,27.0000010728836%
037,Davidson County,10138,145,9,0.100000004749745%,1,252977,37029,20.9999993443489%
039,Decatur County,113,1,1,0.899999961256981%,0,6448,852,18.9999997615814%
043,Dickson County,455,6,0,0%,0,17614,2527,15.0000005960464%
045,Dyer County,711,22,0,0%,0,16123,2742,25.9999990463257%
047,Fayette County,386,9,0,0%,0,11214,951,18.9999997615814%
049,Fentress County,265,4,0,0%,0,7598,786,25.9999990463257%
051,Franklin County,428,7,0,0%,0,16813,2429,20.9999993443489%
053,Gibson County,939,31,2,0.20000000949949%,0,21059,4676,20.9999993443489%
055,Giles County,255,8,0,0%,0,13113,2868,17.0000001788139%
057,Grainger County,181,4,0,0%,0,9732,1129,20.0000002980232%
059,Greene County,925,14,0,0%,0,28116,5249,21.9999998807907%
061,Grundy County,243,8,0,0%,0,6282,1159,34.9999994039536%
063,Hamblen County,612,4,3,0.499999988824129%,0,24693,2430,20.9999993443489%
065,Hamilton County,3066,60,2,0.100000004749745%,1,134692,24871,18.9999997615814%
067,Hancock County,95,7,0,0%,0,3280,662,34.9999994039536%
069,Hardeman County,437,9,0,0%,0,10694,1366,25.9999990463257%
071,Hardin County,337,5,0,0%,0,12807,1511,23.0000004172325%
073,Hawkins County,554,10,0,0%,0,24416,3517,21.9999998807907%
075,Haywood County,349,4,0,0%,0,8086,1302,30.0000011920929%
077,Henderson Count,209,3,1,0.499999988824129%,0,11446,1289,17.0000001788139%
079,Henry County,399,18,2,0.499999988824129%,0,15783,2310,21.9999998807907%
081,Hickman County,204,3,0,0%,0,8904,1248,17.0000001788139%
083,Houston County,55,2,1,1.79999992251396%,0,3901,580,23.9999994635582%
085,Humphreys Count,266,4,0,0%,0,8482,1007,14.0000000596046%
087,Jackson County,44,.,0,0%,0,5163,870,15.9999996423721%
089,Jefferson Count,518,7,0,0%,0,19319,2424,18.0000007152557%
091,Johnson County,249,8,1,0.400000018998981%,0,7879,1497,28.999999165535%
093,Knox County,5826,60,5,0.100000004749745%,0,171439,26894,17.0000001788139%
095,Lake County,135,2,0,0%,0,2716,570,43.0000007152557%
097,Lauderdale Coun,401,14,2,0.499999988824129%,1,10563,1537,30.0000011920929%
099,Lawrence County,352,6,0,0%,0,16821,3046,20.9999993443489%
101,Lewis County,105,4,0,0%,0,4821,558,15.9999996423721%
103,Lincoln County,425,8,1,0.20000000949949%,0,13999,2867,20.0000002980232%
105,Loudon County,297,4,0,0%,0,17277,3007,15.9999996423721%
107,McMinn County,548,11,0,0%,0,21626,3894,20.9999993443489%
109,McNairy County,383,8,0,0%,0,11219,1479,15.9999996423721%
111,Macon County,368,10,0,0%,0,8894,1011,20.0000002980232%
113,Madison County,2486,55,7,0.300000002607703%,1,38205,5748,20.9999993443489%
115,Marion County,304,3,0,0%,0,12140,1616,20.0000002980232%
117,Marshall County,214,9,2,0.899999961256981%,1,11181,2335,11.9999997317791%
119,Maury County,304,8,1,0.300000002607703%,0,28674,4698,17.0000001788139%
121,Meigs County,170,4,0,0%,0,5188,489,25.9999990463257%
123,Monroe County,289,3,0,0%,0,17287,2247,21.9999998807907%
125,Montgomery Coun,2035,17,5,0.20000000949949%,1,52167,3656,14.0000000596046%
127,Moore County,18,.,0,0%,0,2515,527,10.0000001490116%
129,Morgan County,204,2,0,0%,0,7714,1144,23.9999994635582%
131,Obion County,609,14,0,0%,0,14489,2766,18.0000007152557%
133,Overton County,146,2,0,0%,0,9168,1119,20.9999993443489%
135,Perry County,84,1,0,0%,0,4115,529,15.9999996423721%
137,Pickett County,50,.,0,0%,0,2956,337,25%
139,Polk County,228,7,1,0.400000018998981%,0,7369,1147,12.9999995231628%
141,Putnam County,269,8,2,0.700000021606684%,0,26916,2551,18.0000007152557%
143,Rhea County,161,3,0,0%,0,12565,1407,18.9999997615814%
145,Roane County,645,9,0,0%,0,23369,3339,17.0000001788139%
147,Robertson Count,1168,7,1,0.100000004749745%,0,20995,3015,10.9999999403954%
149,Rutherford Coun,2317,33,1,0%,0,70616,4416,10.0000001490116%
151,Scott County,200,3,0,0%,0,8909,1101,21.9999998807907%
153,Sequatchie Coun,188,3,0,0%,0,4916,503,14.0000000596046%
155,Sevier County,1214,9,1,0.100000004749745%,0,37252,2499,15.9999996423721%
157,Shelby County,15938,319,30,0.20000000949949%,5,362954,53121,25.9999990463257%
159,Smith County,233,1,0,0%,0,7665,1615,18.0000007152557%
161,Stewart County,93,2,0,0%,0,5977,831,14.0000000596046%
163,Sullivan County,2435,22,2,0.100000004749745%,0,69052,13415,20.0000002980232%
165,Sumner County,1668,4,0,0%,0,51657,3908,12.9999995231628%
167,Tipton County,540,9,0,0%,0,19064,1944,18.9999997615814%
169,Trousdale Count,118,2,0,0%,0,3095,556,21.9999998807907%
171,Unicoi County,317,5,1,0.300000002607703%,0,8214,2191,20.9999993443489%
173,Union County,177,6,0,0%,0,7916,741,21.9999998807907%
175,Van Buren Count,55,2,0,0%,0,2453,327,15.0000005960464%
177,Warren County,530,13,0,0%,0,16689,2421,23.9999994635582%
179,Washington Coun,1802,22,2,0.100000004749745%,1,47779,7954,18.9999997615814%
181,Wayne County,102,4,0,0%,0,6701,905,18.0000007152557%
183,Weakley County,510,17,2,0.400000018998981%,0,14928,2725,18.9999997615814%
185,White County,197,10,0,0%,0,10191,1664,18.9999997615814%
187,Williamson Coun,668,6,4,0.600000005215406%,0,47005,2647,5.99999986588955%
189,Wilson County,1844,21,1,0.100000004749745%,0,34921,3442,7.99999982118607%
*# of Addresses where address state not in selected state: 0,# of Addresses where program state is not in selected state: 1,,,,,,,,
*# of Addresses where address state not in selected state: 0,# of Addresses where program state is not in selected state: 3,,,,,,,,
*# of Addresses where address state not in selected state: 0,# of Addresses where program state is not in selected state: 2,,,,,,,,
,,,,,,,,,
"* Based on most recent five years of data, 2010-2014",,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,
